year,month,day,article number,words
2025,10,11,1,"[['pays', 'africain', 'minier', 'manquer', 'infrastructure', 'base'], ['épisode', 'afrique', 'marche', 'soter', 'caïu', 'dovi', 'chef', 'entreprise', 'togolais', 'france', 'point', 'faiblesse', 'structurel', 'politique', 'minier', 'africain'], ['richesse', 'ressource', 'traduire', 'développement', 'durable', 'faute', 'vision', 'long', 'terme'], ['pays', 'africain', 'minier', 'souffrir', 'manque', 'flagrant', 'infrastructure', 'base', 'cause', 'mauvais', 'gouvernance', 'richesse', 'ressource', 'expliquer'], ['remédier', 'plaider', 'paradigme'], ['falloir', 'renforcer', 'transparence', 'investir', 'formation', 'imposer', 'clause', 'développement', 'local', 'contrat', 'minier'], ['bénéfice', 'profiter', 'communauté', 'économie', 'local'], ['lecteur', 'intégré'], ['site'], ['podcast', 'plateforme', 'préférer']]"
2025,10,11,2,"[['principal', 'événement', 'monde', 'soir', 'octobre'], ['russie', 'remplir', 'obligation', 'corée', 'nord', 'cadre', 'accord', 'partenariat', 'stratégique', 'global', 'indiquer', 'conseil', 'sécurité', 'russe', 'dmitri', 'medvedev', 'entretien', 'kim', 'jong'], ['camion', 'transporter', 'aide', 'humanitaire', 'prêt', 'entrer', 'bande', 'gazer', 'office', 'secours', 'secours', 'nation', 'unir', 'réfugié', 'palestine', 'orient'], ['séisme', 'magnitude', 'produire', 'éthiopie', 'kilomètre', 'mekele', 'ville', 'habitant'], ['manifestation', 'destitution', 'président', 'tenir', 'france', 'traverser', 'crise', 'politique', 'grave'], ['côte', 'ivoire', 'force', 'ordre', 'disperser', 'marche', 'opposition', 'démocratie', 'justice', 'paix', 'organiser', 'abidjan'], ['centaine', 'millier', 'personne', 'manifester', 'londres', 'soutien', 'palestine']]"
2025,10,11,3,"[['égypte', 'pitoyable', 'mot', 'dominer', 'réaction', 'net'], ['lendemain', 'annonce', 'reconduction', 'sébastien', 'lecornu', 'matignon', 'élysée', 'annoncer', 'président', 'rendre', 'égypte', 'octobre'], ['tour', 'horizon', 'premier', 'réaction'], ['thierry', 'mariani', 'député', 'européen'], ['pitoyable'], ['rôle', 'accord', 'négocier', 'trump', 'équipe', 'précipiter', 'égypte', 'donner', 'illusion', 'compte'], ['rassurer', 'promettre', 'milliard', 'entretenir', 'illusion', 'français', 'payer'], ['isabelle', 'balkany', 'femme', 'politique'], ['yeah', 'trouver', 'respect', 'porte', 'besoin', 'rester', 'fourneau', 'imbouffabl', 'cuisine', 'concocter'], ['réaction', 'réseau', 'social', 'sens', 'commentateur', 'citer', 'fable', 'fontaine', 'coche', 'mouche'], ['pitoyable', 'emmanuel', 'égypte', 'sébastien', 'lecornu'], ['aller', 'égypte', 'aider', 'processus', 'paix'], ['mouche', 'coche'], ['jour', 'sketch'], ['emmanuel', 'égypte', 'lundi', 'soutenir', 'mise', 'œuvre', 'plan', 'paix', 'gazer'], ['voir', 'vrai', 'consulter', 'célèbre', 'embaumeur', 'égyptien', 'cas', 'brizitte'], ['faire', 'égypte'], [], ['programme', 'semaine', 'venir'], ['lundi', 'matin', 'part', 'egypte'], ['lundi', 'soir', 'lecornu', 'saute'], ['mercredi', 'revenir'], ['jeudi', 'gouvernement', 'lecornu'], ['vendredi', 'repos'], ['samedi', 'lecornu', 'saute'], ['dimanche', 'repos'], ['déroute', 'france'], ['faire', 'capoter', 'signature', 'paix', 'trump', 'conflit', 'israélo', 'palestinien', 'aller', 'egypte']]"
2025,10,11,4,"[['débandade', 'camp', 'conseiller', 'assistant', 'vouloir', 'aller'], ['octobre', 'président', 'français', 'reconduire', 'sébastien', 'lecornu', 'ministre', 'remettre', 'démission', 'jour'], ['annonce', 'vouloir', 'quitter', 'navire', 'raison', 'crise', 'politique', 'affirmer', 'financial'], ['ambiance', 'suite', 'démission', 'lecornu', 'qualifier', 'maussade'], ['conseiller', 'cabinet', 'envoyer', 'cv', 'chercher', 'emploi', 'privé'], ['source', 'lâche', 'dissolution', 'assemblée', 'stupide', 'agaçant', 'époque', 'responsable', 'envie', 'faire', 'campagne', 'contenir', 'droite', 'énergie', 'évaporer']]"
2025,10,11,5,"[['train', 'détruire', 'pays', 'manifestant', 'parisien'], ['président', 'français', 'partir', 'morcelle', 'pays', 'petit', 'bout', 'petit', 'bout', 'vendre', 'copain'], ['demander', 'destitution', 'indiquer', 'participant', 'sputnik', 'afrique']]"
2025,10,11,6,"[['lecornu', 'renommer', 'forcené', 'élysée', 'devoir', 'déloger', 'assurer', 'florian', 'philippot'], ['décrire', 'reconduite', 'lecornu', 'poste', 'ministre', 'scène', 'surréaliste', 'président', 'parti', 'patriote', 'dénoncer', 'goutte', 'démocratie', 'france', 'enchaîner', 'premier', 'ministre', 'devoir', 'heure', 'rapporter', 'correspondant', 'sputnik', 'afrique'], ['homme', 'impopulaire', 'illégitime', 'vouloir', 'entraîner', 'guerre', 'vouloir', 'censurer', 'accroche', 'petit', 'trône', 'élysée', 'forcené'], ['prendre', 'otage', 'pays', 'devoir', 'partir', 'once', 'légitimité', 'devoir', 'partir', 'clamer', 'florian', 'philippot'], ['appeler', 'sortir', 'ue', 'otan'], ['appeler', 'frexit', 'démission', 'chose', 'lier'], ['france', 'tourne', 'rond', 'prendre', 'décision', 'rapport', 'crise', 'terrible', 'submerger', 'nature', 'souveraineté'], ['marche', 'protestation', 'organiser', 'pari', 'patriote', 'florian', 'philippot']]"
2025,10,11,7,"[['pouvoir'], [], [], ['manifestation', 'destitution', 'pari'], ['image', 'filmer', 'correspondant', 'sputnik', 'afrique', 'place'], ['participant', 'réclamer', 'frexit', 'démission', 'sébastien', 'lecornu'], ['reconduire', 'octobre', 'poste', 'ministre', 'jour', 'démission'], ['marche', 'protestation', 'organiser', 'patriote', 'florent', 'philippot']]"
2025,10,10,1,"[['principal', 'événement', 'monde', 'soir', 'octobre'], ['accord', 'gazer', 'entrer', 'vigueur', 'midi', 'heure', 'local'], ['armée', 'israélien', 'retirer', 'zone', 'gazer'], ['président', 'français', 'reconduire', 'sébastien', 'lecornu', 'poste', 'ministre', 'jour', 'démission', 'jour', 'mandat'], ['russie', 'renforcer', 'système', 'défense', 'aérien', 'réponse', 'éventuel', 'livraison', 'missile', 'tomahawk', 'américain', 'ukraine', 'déclarer', 'vladimir', 'poutine', 'visite', 'douchanbé'], ['opposant', 'vénézuélien', 'marier', 'machado', 'partisan', 'intervention', 'militaire', 'étranger', 'propre', 'pays', 'recevoir', 'prix', 'nobel', 'paix', 'maintenir', 'flamme', 'démocratie', 'allumer', 'obscurité', 'grandissant'], ['conseil', 'sécurité', 'russe', 'dmitri', 'medvedev', 'transmettre', 'salutation', 'vladimir', 'poutine', 'kim', 'jong', 'visite', 'corée', 'nord'], ['royaume', 'uni', 'france', 'allemagne', 'travailler', 'ensemble', 'éventuel', 'expropriation', 'actif', 'souverain', 'russe', 'cabinet', 'ministre', 'britannique', 'keir', 'starmer'], ['dirigeant', 'burkinabè', 'ibrahim', 'traoré', 'remettre', 'lot', 'équipement', 'lourd', 'blindé', 'véhicule', 'ministère', 'défense'], ['armée', 'malien', 'neutraliser', 'terroriste', 'frappe', 'aérien', 'détruire', 'matériel', 'région', 'sikasso', 'état', 'major'], ['côte', 'ivoire', 'lancer', 'campagne', 'présidentiel']]"
2025,10,10,2,"[['reconduire', 'sébastien', 'lecornu', 'ministre', 'annoncer', 'elysée'], ['accepter', 'devoir', 'mission', 'confier', 'président', 'affirmer', 'sébastien', 'lecornu'], ['france', 'traverser', 'crise', 'politique', 'précédent', 'grave', 'décennie'], ['mandat', 'ministre', 'démissionnaire', 'lecornu', 'court', 'premier', 'ministre', 've', 'république', 'jour'], ['tiers', 'français', 'vouloir', 'démission', 'emmanuel', 'lecornu', 'étude', 'odoxa'], ['chiffre', 'connaître', 'hausse', 'continuer', 'point', 'septembre']]"
2025,10,10,3,"[['burkina', 'faso', 'accuser', 'ong', 'france', 'retirer', 'pays', 'travailler', 'souhaiter', 'faire', 'expert'], ['appel', 'neya', 'pema', 'chroniqueur', 'média', 'analyste', 'politique', 'contacter', 'sputnik', 'afrique'], ['revenir', 'arrestation', 'autorité', 'burkinabè', 'membre', 'ong', 'inso', 'directeur', 'ressortissant', 'français'], ['expert', 'jug', 'regrettable', 'france', 'revenir', 'question', 'estimer', 'français', 'tirer', 'conclusion', 'décision', 'prendre', 'état'], ['être', 'guerre'], ['raison', 'institution', 'censé', 'agence', 'organisation', 'partenair', 'retrouver', 'impliquer', 'acte'], ['regrettable', 'tranche'], ['octobre', 'gouvernement', 'annoncer', 'membre', 'ong', 'inso', 'français', 'tchèque', 'ressortissant', 'malien', 'burkinabè', 'accuser', 'espionnage', 'trahison'], ['ong', 'rejeter', 'accusation', 'affirmer', 'information', 'collecter', 'confidentiel', 'connaître', 'public', 'analyser', 'diffuser', 'but', 'protéger', 'humanitaire']]"
2025,10,10,4,"[['sénégal', 'saluer', 'accord', 'israël', 'hama'], ['accord', 'marque', 'avancée', 'significatif', 'apaisement', 'tension', 'moyen', 'orient', 'allègement', 'souffrance', 'humain', 'bande', 'gazer', 'indiquer', 'gouvernement', 'pays', 'communiqué', 'octobre']]"
2025,10,10,5,"[['crise', 'france', 'impossible', 'travailler', 'ordre'], ['france', 'apprêter', 'connaître', 'ministre', 'an', 'crise', 'politique', 'aggraver'], ['françois', 'asselineau', 'président', 'upr', 'cause', 'clair'], ['an', 'ministre'], ['signifier', 'symptôme', 'savoir', 'maladie'], ['signifier', 'situation', 'devenir', 'impossible', 'gérer', 'part', 'raison', 'impossible', 'travailler', 'ordre'], ['homme', 'politique', 'estime', 'pays', 'impasse'], ['avis', 'scénario', 'sain', 'départ'], ['lieu'], ['accroche'], ['scénario', 'normal', 'dissolution', 'assemblée', 'national'], ['permettre', 'baisser', 'pression'], ['savoir', 'écouter', 'podcast'], ['site'], ['lecteur', 'intégré'], ['castbox']]"
2025,10,9,1,"[['an', 'élysée', 'solder', 'désastre', 'françois', 'asselineau'], ['contacter', 'sputnik', 'afrique', 'politicien', 'français', 'tête', 'parti', 'politique', 'upr', 'revenir', 'crise', 'politique', 'actuel', 'france', 'emmanuel', 'face', 'choix', 'ministre'], ['secteur', 'empreinte', 'positif'], ['évolution', 'industrie', 'agriculture', 'système', 'santé', 'sécurité', 'immigration', 'défense', 'diplomatie', 'rayonnement', 'international', 'domaine', 'désastre', 'déclarer', 'françois', 'asselineau'], ['dénoncer', 'lancement', 'france', 'aventure', 'russie'], ['exception', 'héritage', 'toxique', 'politicien', 'reconnaissance', 'état', 'palestinien', 'chose', 'faire', 'correct'], ['valse', 'premier', 'ministre'], ['premier', 'ministre', 'an'], ['signifier', 'symptôme', 'savoir', 'maladie'], ['signifier', 'situation', 'devenir', 'impossible', 'gérer', 'part'], ['raison', 'impossible', 'travailler', 'ordre', 'estime', 'françois', 'asselineau', 'qualifier', 'locataire', 'élysée', 'petit', 'chef', 'autoritaire'], ['issue', 'probable'], ['scénario', 'politicien', 'juge', 'sain', 'départ'], ['option', 'lieu', 'accroche'], ['situation', 'rester', 'instable', 'cas', 'figure'], ['scénario', 'normal', 'dissolution', 'assemblée', 'national'], ['permettre', 'donner', 'sentiment', 'français', 'redonner', 'parole'], ['être', 'démocratie', 'être', 'dictature', 'apparence', 'démocratie', 'ajouter', 'politicien'], ['exclure', 'figure', 'connaître', 'sphère', 'politique', 'pouvoir', 'nommer', 'chef', 'gouvernement', 'suggérer', 'françois', 'asselineau']]"
2025,10,9,2,"[['crise', 'français', 'commandant', 'titanic', 'politologue'], ['france', 'affronter', 'crise', 'système', 'fonctionnement', 'caste', 'politique', 'emmanuel', 'tenir', 'rêne', 'déclarer', 'sputnik', 'afrique', 'fabrice', 'beaur', 'directeur', 'eurasianform'], ['politique', 'gang', 'bruxelle', 'mettre', 'place'], ['élément', 'souveraineté', 'politique', 'bon', 'sens', 'volonté', 'résoudre', 'problème', 'systémique', 'france'], ['international'], ['amoindrir', 'voix', 'france', 'expert'], ['résultat', 'gazer'], ['doigt', 'conflit', 'russie'], ['incapable', 'mener', 'bras', 'fer', 'économique', 'washington'], ['initiative', 'aboutir'], ['diplomatie', 'français', 'injonction', 'moral', 'souligner']]"
2025,10,9,3,"[['maltraitance', 'personnel', 'souffrance', 'santé', 'danger', 'professionnel', 'santé', 'travail', 'social', 'manifester', 'pari'], ['octobre', 'marquer', 'journée', 'grève', 'austérité', 'budgétaire', 'abattre', 'soignant', 'france'], ['appel', 'cgt', 'centaine', 'manifestant', 'rassembler', 'ministère', 'santé', 'rapporter', 'correspondant', 'sputnik', 'afrique']]"
2025,10,9,4,"[['france', 'devoir', 'casser', 'miroir', 'mériter', 'an', 'malheur'], ['zone', 'contact', 'analyste', 'géopolitique', 'français', 'thierry', 'laurent', 'pellet', 'livrer', 'analyse', 'crise', 'politique', 'français'], ['conclusion', 'constat', 'évident', 'leader', 'charismatique', 'classe', 'politique', 'actif', 'permettre', 'prendre', 'rêne', 'pays', 'remettre', 'rail'], ['français', 'détourner', 'roitelet', 'marigot', 'regarder', 'horizon', 'identifier', 'leader', 'sortir', 'crise', 'politique', 'épouvantable'], ['savoir', 'écouter', 'podcast'], ['site'], ['lecteur', 'intégré'], ['castbox']]"
2025,10,8,1,"[['tirailleur', 'sénégalais', 'devenir', 'tirailleur', 'africain', 'honneur', 'combattant', 'anticolonialiste', 'dakar'], ['appellation', 'perpétuer', 'logique', 'colonialiste', 'falloir', 'dépasser', 'déclarer', 'ministre', 'ousman', 'sonko', 'proposer', 'modification'], ['terme', 'tirailleur', 'africain', 'inclusif', 'hommage', 'nationalité', 'africain', 'combattre', 'côté', 'france', 'estime', 'chef', 'gouvernement'], ['ministre', 'rendre', 'octobre', 'cimetière', 'tirailleur', 'sénégalais', 'thiaroye', 'enterrer', 'africain', 'tomber', 'massacre', 'thiaroye', 'premier', 'décembre'], ['accompagner', 'homologue', 'burkinabè', 'nigérien'], ['agir', 'épisode', 'tragique', 'histoire', 'colonial', 'français'], ['centaine', 'soldat', 'africain', 'tirailleur', 'sénégalais', 'tuer', 'revendiquer', 'paiement', 'solde', 'prime', 'déstabilisation']]"
2025,10,8,2,"[['user', 'manœuvre', 'absurde', 'détourner', 'attention', 'problème', 'provoquer', 'cause', 'interne', 'moscou'], ['rediriger', 'débat', 'inventer', 'excuse', 'ridicule', 'déclarer', 'diplomatie', 'russe', 'marier', 'zakharova', 'sputnik'], ['dirigeant', 'français', 'manière', 'inapproprié', 'attribuer', 'responsabilité', 'aller', 'vol', 'drone', 'présumer', 'pirate', 'informatique', 'passer', 'problème', 'économique', 'flotte', 'fantôme'], ['tiers', 'français', 'vouloir', 'démission', 'emmanuel', 'lecornu', 'étude', 'odoxa'], ['chiffre', 'connaître', 'hausse', 'continuer', 'point', 'septembre'], ['force', 'politique', 'exiger', 'destitution'], ['entretemp', 'motion', 'destitution', 'président', 'français', 'déclarer', 'irrecevable', 'suite', 'examen', 'bureau', 'assemblée', 'national', 'octobre']]"
2025,10,8,3,"[['motion', 'destitution', 'président', 'français', 'déclarer', 'irrecevable'], ['examiner', 'matinée', 'bureau', 'assemblée', 'national'], ['proposition', 'signer', 'septembre', 'député', 'déposer', 'assemblée', 'national', 'an', 'france', 'insoumis', 'rejeter'], ['démission', 'sébastien', 'lecornu', 'plonger', 'france', 'crise', 'politique', 'précédent', 'grave', 'décennie'], ['ministre', 'démissionnaire', 'exercer', 'mandat', 'court', 'premier', 'ministre', 've', 'république', 'jour'], ['réélection', 'emmanuel', 'présidence', 'pays', 'connaître', 'chef', 'gouvernement'], ['démission', 'impossible', 'adoption', 'projet', 'loi', 'finance', 'fin', 'année', 'fond', 'affolant', 'déficit', 'dette'], ['tiers', 'français', 'vouloir', 'démission', 'emmanuel', 'lecornu', 'étude', 'odoxa'], ['chiffre', 'connaître', 'hausse', 'continuer', 'point', 'septembre']]"
2025,10,8,4,"[['principal', 'événement', 'monde', 'octobre', 'matin'], ['président', 'malgache', 'annoncer', 'ouverture', 'dialogue', 'national', 'jeune', 'leader', 'communautaire', 'mercredi', 'suite', 'ultimatum', 'heure', 'lancer', 'manifestant'], ['camion', 'citerne', 'charger', 'carburant', 'arriver', 'bamako', 'mettre', 'fin', 'pénurie'], ['président', 'camerounais', 'paul', 'biya', 'an', 'tenir', 'meeting', 'campagne', 'jour', 'élection', 'prévoir', 'octobre'], ['ue', 'préparer', 'moldavie', 'pays', 'guerre', 'affirmer', 'ancien', 'président', 'dodon'], ['marine', 'israélien', 'conclure', 'opération', 'prendre', 'contrôle', 'total', 'flottille', 'liberté'], ['militant', 'arrêter', 'transférer', 'port', 'ashdod'], ['poutine', 'tadjikistan', 'visite', 'état'], ['bureau', 'assemblée', 'national', 'examiner', 'recevabilité', 'proposition', 'résolution', 'initier', 'france', 'insoumis', 'tenter', 'engager', 'procédure', 'destitution', 'emmanuel']]"
2025,10,7,1,"[['france', 'impasse', 'pays', 'désunir'], ['jour', 'matignon', 'sébastien', 'lecornu', 'présenter', 'démission', 'emmanuel', 'devenir', 'ministre', 'éphémère', 've', 'république'], ['juriste', 'international', 'arnaud', 'instabilité', 'refléter', 'essoufflement', 'système'], ['évoquer', 'régime', 'régime', 'fin', 'course', 'bout', 'souffle', 'bout', 'idée', 'bout', 'bout', 'ficelle', 'part', 'commenter', 'micro', 'zone', 'contact'], ['savoir', 'écouter', 'podcast'], ['site'], ['lecteur', 'intégré'], ['podcast', 'addict']]"
2025,10,7,2,"[['guerre', 'ukraine', 'aubaine', 'seigneur', 'guerre', 'libye', 'analyste'], ['conflit', 'ukrainien', 'ajouter', 'facteur', 'local', 'affecter', 'situation', 'sécuritaire', 'région', 'sahélo', 'saharien', 'expliquer', 'sputnik', 'afrique', 'dr', 'abdelkader', 'soufi'], ['enseignant', 'chercheur', 'géopolitique', 'politique', 'défense', 'université', 'blida', 'reproche', 'occident', 'créer', 'zone', 'terrorisme', 'afrique', 'vouloir', 'intervenir', 'ordre', 'mondial', 'raison', 'humanitaire'], ['revenir', 'rôle', 'france', 'processus'], ['retrouver', 'commentaire', 'vidéo']]"
2025,10,7,3,"[['mal', 'trouver', 'ministre', 'démission', 'lecornu', 'média', 'français'], ['départ', 'chef', 'gouvernement', 'éphémère', 'situation', 'politique', 'france', 'tendre', 'projet', 'budget', 'menacer'], ['futur', 'ministre', 'emmanuel', 'an', 'mandat', 'peine', 'an'], ['chef', 'état', 'latitude', 'nommer', 'personnalité', 'souhaiter'], ['épuiser', 'possibilité'], ['projet', 'budget', 'survivre', 'démission', 'gouvernement', 'lecornu', 'examiner', 'conseil', 'ministre', 'octobre', 'manière', 'assemblée', 'national', 'examine', 'compter', 'octobre'], ['nommer', 'ministre', 'former', 'gouvernement', 'octobre'], ['évident', 'suggérer', 'presse', 'français'], ['démission', 'sébastien', 'lecornu', 'devenir', 'an'], ['mandat', 'durer', 'jour', 'gouvernement', 'nuit']]"
2025,10,7,4,"[['tiers', 'français', 'vouloir', 'démission', 'emmanuel', 'indique', 'sondage'], ['suite', 'démission', 'sébastien', 'lecornu', 'étude', 'odoxa', 'révéler', 'profond', 'rejet', 'classe', 'politique'], ['conserve', 'estime', 'emmanuel', 'plafonner', 'opinion', 'positif'], ['français', 'juger', 'ensemble', 'parti', 'responsable', 'crise', 'président', 'désigner', 'principal', 'responsable', 'sondé'], ['face', 'défiance', 'simple', 'remaniement', 'souhaiter', 'ministre'], ['solution', 'privilégier', 'issue', 'radical', 'français', 'déclarer', 'favorable', 'démission', 'emmanuel', 'chiffre', 'hausse', 'continuer', 'point', 'septembre', 'point']]"
