year,month,day,num_article,words
2025,10,11,1,"['pays', 'africain', 'minier', 'manquer', 'infrastructure', 'base', 'épisode', 'afrique', 'marche', 'soter', 'caïu', 'dovi', 'chef', 'entreprise', 'togolais', 'france', 'point', 'faiblesse', 'structurel', 'politique', 'richesse', 'ressource', 'traduire', 'développement', 'durable', 'faute', 'vision', 'long', 'terme', 'souffrir', 'manque', 'flagrant', 'cause', 'mauvais', 'gouvernance', 'expliquer', 'remédier', 'plaider', 'paradigme', 'falloir', 'renforcer', 'transparence', 'investir', 'formation', 'imposer', 'clause', 'local', 'contrat', 'bénéfice', 'profiter', 'communauté', 'économie', 'lecteur', 'intégré', 'site', 'podcast', 'plateforme', 'préférer']"
2025,10,11,2,"['principal', 'événement', 'monde', 'soir', 'octobre', 'russie', 'remplir', 'obligation', 'corée', 'nord', 'cadre', 'accord', 'partenariat', 'stratégique', 'global', 'indiquer', 'conseil', 'sécurité', 'russe', 'dmitri', 'medvedev', 'entretien', 'kim', 'jong', 'camion', 'transporter', 'aide', 'humanitaire', 'prêt', 'entrer', 'bande', 'gazer', 'office', 'secours', 'nation', 'unir', 'réfugié', 'palestine', 'orient', 'séisme', 'magnitude', 'produire', 'éthiopie', 'kilomètre', 'mekele', 'ville', 'habitant', 'manifestation', 'destitution', 'président', 'tenir', 'france', 'traverser', 'crise', 'politique', 'grave', 'côte', 'ivoire', 'force', 'ordre', 'disperser', 'marche', 'opposition', 'démocratie', 'justice', 'paix', 'organiser', 'abidjan', 'centaine', 'millier', 'personne', 'manifester', 'londres', 'soutien']"
2025,10,11,3,"['égypte', 'pitoyable', 'mot', 'dominer', 'réaction', 'net', 'lendemain', 'annonce', 'reconduction', 'sébastien', 'lecornu', 'matignon', 'élysée', 'annoncer', 'président', 'rendre', 'octobre', 'tour', 'horizon', 'premier', 'thierry', 'mariani', 'député', 'européen', 'rôle', 'accord', 'négocier', 'trump', 'équipe', 'précipiter', 'donner', 'illusion', 'compte', 'rassurer', 'promettre', 'milliard', 'entretenir', 'français', 'payer', 'isabelle', 'balkany', 'femme', 'politique', 'yeah', 'trouver', 'respect', 'porte', 'besoin', 'rester', 'fourneau', 'imbouffabl', 'cuisine', 'concocter', 'réseau', 'social', 'sens', 'commentateur', 'citer', 'fable', 'fontaine', 'coche', 'mouche', 'emmanuel', 'aller', 'aider', 'processus', 'paix', 'jour', 'sketch', 'lundi', 'soutenir', 'mise', 'œuvre', 'plan', 'gazer', 'voir', 'vrai', 'consulter', 'célèbre', 'embaumeur', 'égyptien', 'cas', 'brizitte', 'faire', 'programme', 'semaine', 'venir', 'matin', 'part', 'egypte', 'soir', 'saute', 'mercredi', 'revenir', 'jeudi', 'gouvernement', 'vendredi', 'repos', 'samedi', 'dimanche', 'déroute', 'france', 'capoter', 'signature', 'conflit', 'israélo', 'palestinien']"
2025,10,11,4,"['débandade', 'camp', 'conseiller', 'assistant', 'vouloir', 'aller', 'octobre', 'président', 'français', 'reconduire', 'sébastien', 'lecornu', 'ministre', 'remettre', 'démission', 'jour', 'annonce', 'quitter', 'navire', 'raison', 'crise', 'politique', 'affirmer', 'financial', 'ambiance', 'suite', 'qualifier', 'maussade', 'cabinet', 'envoyer', 'cv', 'chercher', 'emploi', 'privé', 'source', 'lâche', 'dissolution', 'assemblée', 'stupide', 'agaçant', 'époque', 'responsable', 'envie', 'faire', 'campagne', 'contenir', 'droite', 'énergie', 'évaporer']"
2025,10,11,5,"['train', 'détruire', 'pays', 'manifestant', 'parisien', 'président', 'français', 'partir', 'morcelle', 'petit', 'bout', 'vendre', 'copain', 'demander', 'destitution', 'indiquer', 'participant', 'sputnik', 'afrique']"
2025,10,11,6,"['lecornu', 'renommer', 'forcené', 'élysée', 'devoir', 'déloger', 'assurer', 'florian', 'philippot', 'décrire', 'reconduite', 'poste', 'ministre', 'scène', 'surréaliste', 'président', 'parti', 'patriote', 'dénoncer', 'goutte', 'démocratie', 'france', 'enchaîner', 'premier', 'heure', 'rapporter', 'correspondant', 'sputnik', 'afrique', 'homme', 'impopulaire', 'illégitime', 'vouloir', 'entraîner', 'guerre', 'censurer', 'accroche', 'petit', 'trône', 'prendre', 'otage', 'pays', 'partir', 'once', 'légitimité', 'clamer', 'appeler', 'sortir', 'ue', 'otan', 'frexit', 'démission', 'chose', 'lier', 'tourne', 'rond', 'décision', 'rapport', 'crise', 'terrible', 'submerger', 'nature', 'souveraineté', 'marche', 'protestation', 'organiser', 'pari']"
2025,10,11,7,"['pouvoir', 'manifestation', 'destitution', 'pari', 'image', 'filmer', 'correspondant', 'sputnik', 'afrique', 'place', 'participant', 'réclamer', 'frexit', 'démission', 'sébastien', 'lecornu', 'reconduire', 'octobre', 'poste', 'ministre', 'jour', 'marche', 'protestation', 'organiser', 'patriote', 'florent', 'philippot']"
2025,10,10,1,"['principal', 'événement', 'monde', 'soir', 'octobre', 'accord', 'gazer', 'entrer', 'vigueur', 'midi', 'heure', 'local', 'armée', 'israélien', 'retirer', 'zone', 'président', 'français', 'reconduire', 'sébastien', 'lecornu', 'poste', 'ministre', 'jour', 'démission', 'mandat', 'russie', 'renforcer', 'système', 'défense', 'aérien', 'réponse', 'éventuel', 'livraison', 'missile', 'tomahawk', 'américain', 'ukraine', 'déclarer', 'vladimir', 'poutine', 'visite', 'douchanbé', 'opposant', 'vénézuélien', 'marier', 'machado', 'partisan', 'intervention', 'militaire', 'étranger', 'propre', 'pays', 'recevoir', 'prix', 'nobel', 'paix', 'maintenir', 'flamme', 'démocratie', 'allumer', 'obscurité', 'grandissant', 'conseil', 'sécurité', 'russe', 'dmitri', 'medvedev', 'transmettre', 'salutation', 'kim', 'jong', 'corée', 'nord', 'royaume', 'uni', 'france', 'allemagne', 'travailler', 'ensemble', 'expropriation', 'actif', 'souverain', 'cabinet', 'britannique', 'keir', 'starmer', 'dirigeant', 'burkinabè', 'ibrahim', 'traoré', 'remettre', 'lot', 'équipement', 'lourd', 'blindé', 'véhicule', 'ministère', 'malien', 'neutraliser', 'terroriste', 'frappe', 'détruire', 'matériel', 'région', 'sikasso', 'état', 'major', 'côte', 'ivoire', 'lancer', 'campagne', 'présidentiel']"
2025,10,10,2,"['reconduire', 'sébastien', 'lecornu', 'ministre', 'annoncer', 'elysée', 'accepter', 'devoir', 'mission', 'confier', 'président', 'affirmer', 'france', 'traverser', 'crise', 'politique', 'précédent', 'grave', 'décennie', 'mandat', 'démissionnaire', 'court', 'premier', 've', 'république', 'jour', 'tiers', 'français', 'vouloir', 'démission', 'emmanuel', 'étude', 'odoxa', 'chiffre', 'connaître', 'hausse', 'continuer', 'point', 'septembre']"
2025,10,10,3,"['burkina', 'faso', 'accuser', 'ong', 'france', 'retirer', 'pays', 'travailler', 'souhaiter', 'faire', 'expert', 'appel', 'neya', 'pema', 'chroniqueur', 'média', 'analyste', 'politique', 'contacter', 'sputnik', 'afrique', 'revenir', 'arrestation', 'autorité', 'burkinabè', 'membre', 'inso', 'directeur', 'ressortissant', 'français', 'jug', 'regrettable', 'question', 'estimer', 'tirer', 'conclusion', 'décision', 'prendre', 'état', 'être', 'guerre', 'raison', 'institution', 'censé', 'agence', 'organisation', 'partenair', 'retrouver', 'impliquer', 'acte', 'tranche', 'octobre', 'gouvernement', 'annoncer', 'tchèque', 'malien', 'espionnage', 'trahison', 'rejeter', 'accusation', 'affirmer', 'information', 'collecter', 'confidentiel', 'connaître', 'public', 'analyser', 'diffuser', 'but', 'protéger', 'humanitaire']"
